# Calibrator v0.9e
# (by Stefan.Manegold@cwi.nl, http://www.cwi.nl/~manegold/)
000000003 033333.3  008320 000024.4 00006 000401 004.0 003.2  004224 000012.4 00003 000401 004.0 003.2  002176 000006.4 00001 000401 004.0 003.2  001152 000003.4 00000 000401 004.0 003.2
000000004 025000.0  008320 000032.5 00008 000401 004.0 003.2  004224 000016.5 00004 000401 004.0 003.2  002176 000008.5 00002 000401 004.0 003.2  001152 000004.5 00001 000401 004.0 003.2
000000005 020000.0  008320 000040.6 00010 000401 004.0 003.2  004224 000020.6 00005 000401 004.0 003.2  002176 000010.6 00002 000401 004.0 003.2  001152 000005.6 00001 000401 004.0 003.2
000000006 016666.7  008320 000048.8 00012 000401 004.0 003.2  004224 000024.8 00006 000401 004.0 003.2  002176 000012.8 00003 000401 004.0 003.2  001152 000006.8 00001 000401 004.0 003.2
000000008 012500.0  008320 000065.0 00016 000436 004.4 003.5  004224 000033.0 00008 000401 004.0 003.2  002176 000017.0 00004 000401 004.0 003.2  001152 000009.0 00002 000401 004.0 003.2
000000010 010000.0  008320 000081.2 00020 000496 005.0 004.0  004224 000041.2 00010 000401 004.0 003.2  002176 000021.2 00005 000401 004.0 003.2  001152 000011.2 00002 000401 004.0 003.2
000000012 008333.3  008320 000097.5 00024 000498 005.0 004.0  004224 000049.5 00012 000411 004.1 003.3  002176 000025.5 00006 000401 004.0 003.2  001152 000013.5 00003 000401 004.0 003.2
000000016 006250.0  008320 000130.0 00032 000498 005.0 004.0  004224 000066.0 00016 000424 004.2 003.4  002176 000034.0 00008 000401 004.0 003.2  001152 000018.0 00004 000401 004.0 003.2
000000020 005000.0  008320 000162.5 00040 000498 005.0 004.0  004224 000082.5 00020 000495 005.0 004.0  002176 000042.5 00010 000411 004.1 003.3  001152 000022.5 00005 000401 004.0 003.2
000000024 004166.7  008320 000195.0 00048 000499 005.0 004.0  004224 000099.0 00024 000498 005.0 004.0  002176 000051.0 00012 000411 004.1 003.3  001152 000027.0 00006 000401 004.0 003.2
000000032 003125.0  008320 000260.0 00065 000499 005.0 004.0  004224 000132.0 00033 000499 005.0 004.0  002176 000068.0 00017 000428 004.3 003.4  001152 000036.0 00009 000401 004.0 003.2
000000040 002500.0  008320 000325.0 00081 000480 004.8 003.8  004224 000165.0 00041 000499 005.0 004.0  002176 000085.0 00021 000453 004.5 003.6  001152 000045.0 00011 000409 004.1 003.3
000000048 002083.3  008320 000390.0 00097 000500 005.0 004.0  004224 000198.0 00049 000500 005.0 004.0  002176 000102.0 00025 000453 004.5 003.6  001152 000054.0 00013 000407 004.1 003.3
000000064 001562.5  008320 000520.0 00130 000500 005.0 004.0  004224 000264.0 00066 000500 005.0 004.0  002176 000136.0 00034 000454 004.5 003.6  001152 000072.0 00018 000423 004.2 003.4
